Month,Date,Destination,Category,Origin,Destination_Long,Destination_Lat,Origin_Long,Origin_Lat,Distance,Transportation Cost,Entry Cost,Average Price,Horse Drain
1,28.01.2022,Ebreichsdorf,CSN-B*,Zwentendorf,16.39163215125545,47.96611095,16.4330201,48.6106026,98.7359,109.8930567,200,100,-15
2,11.02.2022,Stadl Paura,CSN-B*,Zwentendorf,13.8694007,48.0838623,16.4330201,48.6106026,258.7631,288.0033303,200,100,-15
2,25.02.2022,Ebreichsdorf,CSN-B*,Zwentendorf,16.39163215125545,47.96611095,16.4330201,48.6106026,98.7359,109.8930567,200,100,-15
2,25.02.2022,Stadl Paura,CSN-B*,Zwentendorf,13.8694007,48.0838623,16.4330201,48.6106026,258.7631,288.0033303,200,100,-15
3,18.03.2022,Stadl Paura,CSN-B*,Zwentendorf,13.8694007,48.0838623,16.4330201,48.6106026,258.7631,288.0033303,200,100,-15
3,25.03.2022,St. Margarethen-Stückler,CSN-B*,Zwentendorf,14.813442095989808,46.85983155,16.4330201,48.6106026,328.3924,365.5007412,200,100,-15
4,01.04.2022,Gniebing-Feldbach,CSN-B*,Zwentendorf,15.8534965,46.9632345,16.4330201,48.6106026,236.432,263.148816,200,100,-15
4,01.04.2022,Linz-Ebelsberg,CSN-B*,Zwentendorf,14.3471044,48.2519744,16.4330201,48.6106026,215.8538,240.24527940000002,200,100,-15
4,01.04.2022,Ranshofen,CSN-B*,Zwentendorf,13.0148774,48.2351825,16.4330201,48.6106026,330.5409,367.89202170000004,200,100,-15
4,08.04.2022,Ranftlhof,CSN-B*,Zwentendorf,14.3667296,46.7766754,16.4330201,48.6106026,344.4928,383.42048639999996,200,100,-15
4,08.04.2022,Ebreichsdorf,CSN-B*,Zwentendorf,16.39163215125545,47.96611095,16.4330201,48.6106026,98.7359,109.8930567,200,100,-15
4,08.04.2022,Ranshofen,CSN-B*,Zwentendorf,13.0148774,48.2351825,16.4330201,48.6106026,330.5409,367.89202170000004,200,100,-15
4,15.04.2022,Elixhausen,CSN-B*,Zwentendorf,13.0670649,47.8674868,16.4330201,48.6106026,341.7762,380.3969106,200,100,-15
4,22.04.2022,Sachendorf,CSN-B*,Zwentendorf,14.8000215,47.2228104,16.4330201,48.6106026,255.9841,284.9103033,200,100,-15
4,22.04.2022,Ried am Riederberg,CSN-B*,Zwentendorf,16.071244,48.2552614,16.4330201,48.6106026,65.1197,72.47822609999999,200,100,-15
4,22.04.2022,Lamprechtshausen,CSN-B*,Zwentendorf,12.9554913,47.9926148,16.4330201,48.6106026,359.9878,400.6664214,200,100,-15
4,29.04.2022,Linz-Ebelsberg,CSN-B*,Zwentendorf,14.3471044,48.2519744,16.4330201,48.6106026,215.8538,240.24527940000002,200,100,-15
4,29.04.2022,Preding,CSN-B*,Zwentendorf,15.4064066,46.858903,16.4330201,48.6106026,281.149,312.918837,200,100,-15
5,06.05.2022,Bad Fischau,CSN-B*,Zwentendorf,16.1655929,47.8303476,16.4330201,48.6106026,115.5052,128.5572876,200,100,-15
5,13.05.2022,Ranftlhof,CSN-B*,Zwentendorf,14.3667296,46.7766754,16.4330201,48.6106026,344.4928,383.42048639999996,200,100,-15
5,13.05.2022,St. Ulrich am Pillersee,CSN-B*,Zwentendorf,12.5745465,47.5283873,16.4330201,48.6106026,399.0817,444.1779321,200,100,-15
5,20.05.2022,Lamprechtshausen,CSN-B*,Zwentendorf,12.9554913,47.9926148,16.4330201,48.6106026,359.9878,400.6664214,200,100,-15
